Who initially entered the data,Curator choses that,,,,,,,,,,,HH:MM:SS,int,.,,"float, in GB",Baker Cluster / CSD3 / cloud computing / local laptop or desktop,,"Needs to match the list ""TDP_cpu"" or ""TDP_gpu""","otherwise, average value",,in h ,in W,in kW,in kWh,,in kgCO2e,,,,,Total impact in kgCO2e,,,,,,,,,,,,,,,
Loïc,weather_IFS_1FD_reading,Weather forecast,IFS,Methods,Benchmark,1FD,"Reading, UK",,,"Operational weather forecast at ECMWF: TCo1279 9km resolution, 137 vertical levels for a 10-day deterministic forecast, double precision. Based on figure 4, we can work out that it takes 128 nodes to achieve 180 forecast days per day (8min/FD). That's 128*36=4,608 cores and 128*64=8,192 GB of memory. Hardware described here: [https://www.ecmwf.int/en/computing/our-facilities/supercomputer] / Double precision: [https://www.ecmwf.int/en/newsletter/157/meteorology/progress-using-single-precision-ifs]",,0:08:00,4608,CPU,requested,8192,,,Xeon E5-2695 v4,1.45,https://www.ecmwf.int/sites/default/files/elibrary/2011/17450-green-computing.pdf,0.13,6.7,33.772,6.529,"Reading, UK (https://www.zdnet.com/article/europes-big-weather-supercomputer-data-center-is-about-to-leave-uk/)",1.811,0.159,1.906,7.213,10.346,6.3,4.9,7.6,4.1,3.2,3.1,2.6,3.1,2.2,2.1,1.8,2.6,0.9,0.3,0.7,0.1
,weather_IFS_180FD_reading,Weather forecast,IFS,Methods,Benchmark,180FD,"Reading, UK",,,"Same, scaled to 180 FD (PSF = 180)",180,.,.,.,.,.,,,.,.,.,24.00,1200.00,6078.87,1175.25,"Reading, UK",325.897,28.587,343.049,"1,298.393","1,862.266","1,128.9",873.1,"1,375.0",732.9,577.8,559.3,461.9,551.2,388.1,384.3,325.9,461.9,164.5,55.2,123.5,16.5
Loïc,weather_IFS_1FD_bologna,Weather forecast,IFS,Methods,Benchmark,1FD,"Bologna, IT",,,"Same but in Bologna, for 1 FD",,0:08:00,4608,CPU,requested,8192,,,Xeon E5-2695 v4,1.27,https://www.ecmwf.int/sites/default/files/medialibrary/2019-02/Industry_day_-_QA.pdf,0.13,6.7,33.772,5.719,"Bologna, IT",1.870,0.164,1.968,7.450,10.686,5.5,4.2,6.7,3.6,2.8,2.7,2.2,2.7,1.9,1.9,1.6,2.2,0.8,0.3,0.6,0.1
,weather_IFS_180FD_bologna,Weather forecast,IFS,Methods,Benchmark,180FD,"Bologna, IT",,,"Same, scaled to 180 FD (PSF = 180)",180,.,.,.,.,.,,,.,.,.,24.00,1200.00,6078.87,1029.36,"Bologna, IT",336.599,29.526,354.315,"1,341.033","1,923.425",988.8,764.7,"1,204.3",641.9,506.0,489.9,404.5,482.8,339.9,336.6,285.4,404.5,144.1,48.4,108.2,14.4
Jason,,Plane-Wave Self Consistent Field calculations for surface of 112 gold atoms and 2 k points (AUSURF112),Quantum Espresso - PWscf,,Benchmark,,,,,"Plane-Wave Self Consistent Field calculations for a gold surface with 112 gold atoms and 2 k points as well as a calculations for tantalum pentoxied with 96 atoms and 26 kpoints. See table 1 for input specifications about these different cases. 

The basic computations of the PWscf code involve the calculation of the Kohn-Sham (KS) orbitals (that arise in density functional theory) and energies for isolated or extended/periodic systems and the complete structural optimizations of the microscopic (atomic coordinates) and macroscopic (unit cell) degrees of freedom. The KS orbitals are quantum-mechanical states of electrons under an effective Kohn-Sham potential. 

Estimated using the Broadwell CPU system, cannot estimate the GPU systems as they both utilise CPUs and GPUs simoultaneously - ""The reference CPU system (labeled “Broadwell” in the results) is a private development system of a few hundred nodes fully based on Intel technology. Each node has dual socket 18-core Intel Xeon E5-2697 v4 (Broadwell) CPUs, 128 GB of system memory"".  

AUSURF112 can be run on two CPUs (18*2 cores), so assumming that 128GB * 2 (as two CPUs are requested as smallest case) = 256GB memory minimum, 26 CPUs needed for TA205 26k point calc, so 18*26 cores and 26*128GB is 3328GB forTA2O5 case.

from - https://doi.org/10.1007/978-3-319-72971-8_4",,0:19:50,36,CPU,minimum avaliable?,256,,,Xeon E5-2697 v4,,,0.33,8.1,0.385,0.213,,0.101,0.009,0.106,0.403,0.577,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0
Jason,,Plane-Wave Self Consistent Field calculations for tantalum pentoxide with 96 atoms and 26 k points (Ta2O5),,,,,,,,,,0:50:55,468,CPU,minimum avaliable?,3328,,,Xeon E5-2697 v4,,,0.85,8.1,5.010,7.101,,3.373,0.296,3.550,13.438,19.273,6.8,5.3,8.3,4.4,3.5,3.4,2.8,3.3,2.3,2.3,2.0,2.8,1.0,0.3,0.7,0.1
Jason,,NN genomic prediction,Keras,,Not Benchmark,,,,,"100455 SNPs used to train 14 NNs (hyperparameter optimisation) ,  and predict on test set of 40k",,72:00:00,1,GPU,Requested,32,,,Tesla T4,,,72.00,70,0.082,9.850,,4.679,0.410,4.925,18.641,26.736,9.5,7.3,11.5,6.1,4.8,4.7,3.9,4.6,3.3,3.2,2.7,3.9,1.4,0.5,1.0,0.1
Jason,,NN genomic prediction,Keras,,Not Benchmark,,,,,"100455 SNPs used to train 14 NNs (hyperparameter optimisation) ,  and predict on test set of 40k",,180:00:00,2,CPU,Requested,32,,,Xeon E5-2683 v4,,,180.00,7.5,0.027,8.092,,3.844,0.337,4.046,15.314,21.964,7.8,6.0,9.5,5.0,4.0,3.9,3.2,3.8,2.7,2.6,2.2,3.2,1.1,0.4,0.9,0.1
Loïc,BERT_us_StrubellPUE,NLP,BERT,Methods,Benchmark,,,,,Using the same settings as Strubell et al. but assuming 100% use of CPU to compare with their result. This assumes the improved performances from https://web.archive.org/web/20190521104957/https://medium.com/future-vision/bert-meets-gpus-403d3fbed848,,79:00:00,64,GPU,,0,,,Tesla V100,1.58,,79.00,300,19.200,2396.544,,"1,138.358",99.856,"1,198.272","4,535.292","6,504.905","2,302.1","1,780.4","2,804.0","1,494.5","1,178.1","1,140.5",941.8,"1,124.0",791.3,783.7,664.6,941.8,335.5,112.6,251.9,33.6
Loïc,BERT_us,NLP,BERT,Methods,,,,,,Same but using the updated PUE,,79:00:00,64,GPU,,0,,,Tesla V100,,,79.00,300,19.200,2533.056,,"1,203.202",105.544,"1,266.528","4,793.632","6,875.438","2,433.3","1,881.8","2,963.7","1,579.6","1,245.3","1,205.5",995.5,"1,188.0",836.4,828.3,702.4,995.5,354.6,119.1,266.2,35.5
Loïc,BERT_us_100,NLP,BERT,Methods,,,,,,Same but including PSF,100,79:00:00,64,GPU,,0,,,Tesla V100,,,79.00,300,19.200,253305.600,,"120,320.160","10,554.400","126,652.800","479,363.187","687,543.771","243,325.4","188,180.7","296,367.6","157,961.4","124,525.0","120,548.1","99,549.1","118,800.3","83,641.5","82,830.9","70,241.6","99,549.1","35,462.8","11,905.4","26,622.4","3,546.3"
Loïc,transformer_small_us_StrubellPUE,NLP,Transformer (small),Methods,Benchmark,,,,,"same, trnasformer (base)",,12:00:00,8,GPU,,0,,,Tesla P100 PCIe,1.58,,12.00,250,2.000,37.920,,18.012,1.580,18.960,71.761,102.926,36.4,28.2,44.4,23.6,18.6,18.0,14.9,17.8,12.5,12.4,10.5,14.9,5.3,1.8,4.0,0.5
Loïc,transformer_big_us_StrubellPUE,NLP,Transformer (big),Methods,,,,,,"same, trnasformer (big)",,84:00:00,8,GPU,,0,,,Tesla P100 PCIe,1.58,,84.00,250,2.000,265.440,,126.084,11.060,132.720,502.327,720.480,255.0,197.2,310.6,165.5,130.5,126.3,104.3,124.5,87.6,86.8,73.6,104.3,37.2,12.5,27.9,3.7
Loïc,ELMo_us_StrubellPUE,NLP,ELMo,Methods,,,,,,,,336:00:00,3,GPU,,0,,,Tesla P100 PCIe,1.58,,336.00,250,0.750,398.160,,189.126,16.590,199.080,753.490,"1,080.720",382.5,295.8,465.8,248.3,195.7,189.5,156.5,186.7,131.5,130.2,110.4,156.5,55.7,18.7,41.8,5.6
Loïc,NAS_us_StrubellPUE,NLP,NAS,Methods,,,,,,,,274120:00:00,8,GPU,,0,,,Tesla P100 PCIe,1.58,,274120.00,250,2.000,866219.200,,"411,454.120","36,092.467","433,109.600","1,639,259.442","2,351,166.400","832,090.2","643,514.2","1,013,476.5","540,174.3","425,833.4","412,233.7","340,424.1","406,256.8","286,025.6","283,253.7","240,202.6","340,424.1","121,270.7","40,712.3","91,039.6","12,127.1"
Loïc,,Astrophysics,Helios-r2,,Benchmark,,,,,from https://iopscience.iop.org/article/10.3847/1538-4357/ab6d71/pdf,,0:04:25,1,GPU,,0,,,RTX 2080,,,0.07,215,0.215,0.026,,0.013,0.001,0.013,0.050,0.072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,0.00,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,,,,0.00,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,,,,0.00,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
